WKT,fid,O,D,length,walkwidth2,walkwidth,width,side,buile_MAX,build_ave,build_Min,katagawa,green_ori,bridge,tunnel,crosswalk_ori,roof,river,D/H,gradient2,gradient,maxspeed,O_altitude,D_altitude,crosswalk,pedst,green,walkratio
"LINESTRING (139.6408424 35.4464846,139.6409251 35.4464478)",1338,51,50,8.536,4,0,13,1,0,0,0,0,2,0,0,1,0,0,0,-0.023430178,-0.0234,,2.8,2.6,1,0,0,0
"LINESTRING (139.6412569 35.446874,139.6409601 35.4464933,139.6409251 35.4464478)",1339,125,50,56.119,4.5,4.5,22.5,1,53,40.5,27,2,2,0,0,0,0,0,0.555555556,-0.010691566,-0.0107,,3.2,2.6,0,0,1,0.2
"LINESTRING (139.6408424 35.4464846,139.6408839 35.4465347,139.6411739 35.446914)",1340,124,51,56.409,4.5,4.5,22.5,1,54,40.5,27,2,2,0,0,0,0,0,0.555555556,-0.007091067,-0.0071,,3.2,2.8,0,0,1,0.2
"LINESTRING (139.6405095 35.4460537,139.6407984 35.4464297,139.6408424 35.4464846)",1341,68,51,56.616,5,5,22.5,1,31,16.33333333,6,2,2,0,0,0,0,0,1.37755102,0.019429137,0.0194,,1.7,2.8,0,0,1,0.222222222222222
"LINESTRING (139.6397765 35.4470209,139.6398282 35.4469952,139.6407847 35.4465113,139.6408424 35.4464846)",1342,128,51,113.49,4,4,13,1,0,0,0,0,2,0,0,0,0,0,0,-0.002643405,-0.0026,,3.1,2.8,0,0,1,0.307692307692308
"LINESTRING (139.644117 35.4451458,139.6433785 35.4455414,139.6433202 35.4455719)",1343,189,52,86.341,3.5,3.5,10.5,1,0,0,0,0,1,0,0,0,0,0,0,-0.005790992,-0.0058,,3.8,3.3,0,0,1,0.333333333333333
"LINESTRING (139.6437408 35.4461134,139.6436744 35.446038,139.6433202 35.4455719)",1344,80,52,71.275,7,7,25.5,1,34,26,22,2,2,0,0,0,0,0,0.980769231,-0.002806033,-0.0028,,3.5,3.3,0,0,1,0.274509803921569
"LINESTRING (139.6454658 35.4389895,139.6455814 35.4390592,139.6456975 35.4391391,139.6457479 35.439163)",1345,613,53,32.08,2,2,7,1,0,0,0,0,1,0,0,0,0,0,0,0.009351621,0.0094,,3.4,3.7,0,0,1,0.285714285714286
"LINESTRING (139.6452295 35.4392632,139.6454217 35.4390495,139.6454658 35.4389895)",1346,146,53,37.235,5.5,5.5,20,1,0,0,0,0,1,0,0,0,0,0,0,-0.026856452,-0.0269,,4.7,3.7,0,0,1,0.275
"LINESTRING (139.6455515 35.4386586,139.6454886 35.4389234,139.6454658 35.4389895)",1347,54,53,37.626,5.5,5.5,20,1,0,0,0,0,1,0,0,0,0,0,0,-0.005315473,-0.0053,,3.9,3.7,0,0,1,0.275
"LINESTRING (139.6454658 35.4389895,139.6453533 35.4389386,139.6451689 35.4388783)",1348,564,53,29.659,3,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0.026973263,0.027,,2.9,3.7,0,0,0,0.333333333333333
"LINESTRING (139.6455515 35.4386586,139.6453431 35.4385792)",1349,557,54,20.842,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.02399002,0.024,,3.4,3.9,0,0,0,0
